iter	Passed	Remaining
653	1294	685
654	1296	682
655	1297	680
656	1298	677
657	1299	675
658	1301	673
659	1302	670
660	1303	668
661	1305	666
662	1308	665
663	1310	663
664	1311	660
665	1312	658
666	1313	655
667	1315	653
668	1316	651
669	1317	649
670	1319	646
671	1320	644
672	1324	643
673	1325	641
674	1327	639
675	1328	636
676	1329	634
677	1331	632
678	1332	630
679	1334	627
680	1335	625
681	1339	624
682	1341	622
683	1343	620
684	1344	618
685	1346	616
686	1347	614
687	1349	611
688	1351	609
689	1354	608
690	1355	606
691	1356	603
692	1357	601
693	1359	599
694	1360	597
695	1361	594
696	1362	592
697	1364	590
698	1367	588
699	1369	587
700	1371	584
701	1373	582
702	1375	580
703	1376	578
704	1378	577
705	1382	575
706	1384	573
707	1385	571
708	1387	569
709	1388	567
710	1389	564
711	1390	562
712	1391	560
713	1393	558
714	1394	555
715	1397	554
716	1399	552
717	1401	550
718	1402	548
719	1403	545
720	1404	543
721	1406	541
722	1407	539
723	1408	536
724	1411	535
725	1413	533
726	1414	531
727	1416	529
728	1417	526
729	1418	524
730	1419	522
731	1421	520
732	1422	518
733	1423	515
734	1424	513
735	1427	512
736	1429	510
737	1430	507
738	1432	505
739	1433	503
740	1435	501
741	1436	499
742	1437	497
743	1438	494
744	1441	493
745	1443	491
746	1445	489
747	1447	487
748	1449	485
749	1450	483
750	1451	481
751	1453	479
752	1456	477
753	1458	475
754	1460	473
755	1462	471
756	1463	469
757	1465	467
758	1467	465
759	1468	463
760	1473	462
761	1474	460
762	1476	458
763	1478	456
764	1479	454
765	1480	452
766	1482	450
767	1483	448
768	1486	446
769	1488	444
770	1489	442
771	1490	440
772	1491	438
773	1493	435
774	1494	433
775	1495	431
776	1496	429
777	1498	427
778	1500	425
779	1502	423
780	1503	421
781	1504	419
782	1505	417
783	1506	415
784	1508	413
785	1509	411
786	1510	408
787	1512	406
788	1513	404
789	1516	403
790	1517	401
791	1519	398
792	1520	396
793	1521	394
794	1523	392
795	1524	390
796	1525	388
797	1527	386
798	1528	384
799	1532	383
800	1533	380
801	1534	378
802	1535	376
803	1537	374
804	1538	372
805	1539	370
806	1541	368
807	1542	366
808	1545	364
809	1547	363
810	1549	361
811	1551	359
812	1553	357
813	1554	355
814	1556	353
815	1557	351
816	1561	349
817	1562	347
818	1563	345
819	1565	343
820	1566	341
821	1568	339
822	1569	337
823	1571	335
824	1573	333
825	1576	332
826	1577	330
827	1579	328
828	1580	325
829	1581	323
830	1582	321
831	1584	319
832	1585	317
833	1586	315
834	1588	313
835	1591	312
836	1592	310
837	1593	308
838	1594	306
839	1595	303
840	1597	301
841	1598	299
842	1599	297
843	1600	295
844	1601	293
845	1602	291
846	1607	290
847	1608	288
848	1609	286
849	1610	284
850	1611	282
851	1613	280
852	1614	278
853	1615	276
854	1616	274
855	1617	272
856	1621	270
857	1622	268
858	1624	266
859	1625	264
860	1626	262
861	1628	260
862	1629	258
863	1630	256
864	1631	254
865	1632	252
866	1636	251
867	1638	249
868	1640	247
869	1641	245
870	1643	243
871	1644	241
872	1645	239
873	1647	237
874	1650	235
875	1652	233
876	1654	232
877	1656	230
878	1658	228
879	1659	226
880	1661	224
881	1662	222
882	1666	220
883	1667	218
884	1668	216
885	1670	214
886	1671	212
887	1672	210
888	1673	208
889	1674	207
890	1676	205
891	1677	203
892	1680	201
893	1681	199
894	1682	197
895	1683	195
896	1685	193
897	1686	191
898	1687	189
899	1688	187
900	1690	185
901	1691	183
902	1694	181
903	1695	180
904	1696	178
905	1698	176
906	1699	174
907	1700	172
908	1702	170
909	1703	168
910	1704	166
911	1705	164
912	1707	162
913	1709	160
914	1711	158
915	1712	157
916	1713	155
917	1714	153
918	1716	151
919	1717	149
920	1718	147
921	1719	145
922	1720	143
923	1723	141
924	1725	139
925	1726	137
926	1727	136
927	1728	134
928	1729	132
929	1731	130
930	1732	128
931	1733	126
932	1734	124
933	1735	122
934	1739	120
935	1740	119
936	1742	117
937	1744	115
938	1745	113
939	1746	111
940	1748	109
941	1750	107
942	1753	105
943	1755	104
944	1756	102
945	1757	100
946	1758	98
947	1759	96
948	1760	94
949	1762	92
950	1763	90
951	1764	88
952	1766	87
953	1768	85
954	1769	83
955	1770	81
956	1771	79
957	1773	77
958	1774	75
959	1775	73
960	1776	72
961	1777	70
962	1779	68
963	1780	66
964	1783	64
965	1784	62
966	1785	60
967	1786	59
968	1787	57
969	1789	55
970	1790	53
971	1791	51
972	1792	49
973	1793	47
974	1794	46
975	1797	44
976	1798	42
977	1800	40
978	1801	38
979	1802	36
980	1804	34
981	1805	33
982	1806	31
983	1807	29
984	1808	27
985	1810	25
986	1812	23
987	1813	22
988	1814	20
989	1816	18
990	1817	16
991	1818	14
992	1819	12
993	1820	10
994	1822	9
995	1823	7
996	1826	5
997	1827	3
998	1828	1
999	1829	0
